id,last_login,is_superuser,is_staff,is_active,date_joined
3,"2016-09-06 18:23:51",1,1,1,"2014-07-22 12:47:17"
4,"2016-08-30 17:05:30",0,0,1,"2014-07-22 14:26:25"
5,"2014-07-22 14:48:36",0,0,1,"2014-07-22 14:48:36"
6,"2016-08-25 13:21:45",1,1,1,"2014-07-22 17:19:30"
7,"2014-07-22 17:49:30",0,0,1,"2014-07-22 17:49:30"
8,"2014-07-22 17:57:38",0,0,1,"2014-07-22 17:57:38"
13,"2014-07-22 18:22:01",0,0,1,"2014-07-22 18:22:01"
15,"2016-07-18 17:53:08",1,1,1,"2014-07-22 19:35:48"
16,"2014-08-07 16:53:53",0,0,1,"2014-07-22 22:51:27"
18,"2015-02-19 20:17:05",0,0,1,"2014-07-23 01:02:13"
20,"2015-04-07 21:59:54",0,0,1,"2014-07-24 16:57:30"
21,"2014-07-24 17:19:53",0,0,1,"2014-07-24 17:19:53"
22,"2014-10-25 22:54:40",0,0,1,"2014-07-25 13:20:26"
23,"2014-07-25 21:35:08",0,0,1,"2014-07-25 21:35:08"
24,"2014-07-25 21:51:35",0,0,1,"2014-07-25 21:51:35"
25,"2014-07-25 21:52:38",0,0,1,"2014-07-25 21:52:38"
26,"2014-07-25 23:02:50",0,0,1,"2014-07-25 22:20:02"
28,"2016-08-31 13:46:27",1,1,1,"2014-07-25 22:51:03"
29,"2015-05-04 22:14:19",0,0,1,"2014-07-25 23:23:53"
31,"2014-10-29 15:40:24",0,0,1,"2014-07-28 12:01:40"
32,"2014-12-22 18:58:50",1,1,1,"2014-07-28 13:44:34"
33,"2014-07-28 14:33:27",0,0,1,"2014-07-28 14:33:27"
34,"2015-04-19 18:25:05",0,0,1,"2014-07-28 15:07:38"
35,"2014-07-28 15:31:53",0,0,1,"2014-07-28 15:31:53"
36,"2016-08-27 02:47:26",0,0,1,"2014-07-28 19:03:17"
37,"2014-07-28 19:38:58",0,0,1,"2014-07-28 19:38:58"
38,"2014-07-29 14:42:53",0,0,1,"2014-07-29 14:42:53"
39,"2016-05-17 16:41:44",1,1,1,"2014-07-29 18:58:40"
40,"2014-08-09 03:11:25",0,0,1,"2014-07-29 19:40:05"
41,"2014-07-30 18:02:44",0,0,1,"2014-07-30 18:02:44"
42,"2014-07-30 18:31:32",0,0,1,"2014-07-30 18:31:32"
43,"2016-03-18 14:24:30",0,0,1,"2014-07-30 18:36:57"
44,"2014-07-31 18:47:21",0,0,1,"2014-07-31 18:47:21"
45,"2014-07-31 20:04:02",0,0,1,"2014-07-31 20:04:02"
46,"2014-08-01 16:33:09",0,0,1,"2014-08-01 16:33:09"
47,"2014-08-01 16:47:21",0,0,1,"2014-08-01 16:47:21"
48,"2014-08-04 00:55:17",0,0,1,"2014-08-02 13:16:52"
50,"2014-08-02 19:22:43",0,0,1,"2014-08-02 19:22:43"
51,"2014-08-03 14:18:17",0,0,1,"2014-08-03 14:18:17"
54,"2014-08-04 11:58:02",0,0,1,"2014-08-04 11:58:02"
55,"2014-08-04 12:04:48",0,0,1,"2014-08-04 12:04:48"
56,"2014-09-03 17:16:36",0,0,1,"2014-08-04 12:15:00"
57,"2014-08-04 14:59:04",0,0,1,"2014-08-04 14:59:04"
58,"2014-08-05 12:35:33",0,0,1,"2014-08-05 12:35:33"
59,"2014-08-05 14:25:41",1,1,1,"2014-08-05 14:25:40"
60,"2014-08-05 18:03:38",0,0,1,"2014-08-05 18:03:38"
61,"2014-08-05 18:37:29",0,0,1,"2014-08-05 18:37:29"
62,"2014-08-06 17:37:09",0,0,1,"2014-08-06 17:37:09"
63,"2015-11-14 12:57:04",0,0,1,"2014-08-07 09:45:10"
66,"2014-08-08 14:40:31",0,0,1,"2014-08-08 14:40:31"
69,"2014-08-11 21:31:15",0,0,1,"2014-08-11 21:31:15"
71,"2014-08-13 01:30:35",0,0,1,"2014-08-13 01:30:35"
72,"2014-08-13 12:58:12",0,0,1,"2014-08-13 12:58:12"
73,"2014-08-13 13:02:11",0,0,1,"2014-08-13 13:02:11"
74,"2014-08-13 17:14:45",0,0,1,"2014-08-13 17:14:45"
75,"2014-08-13 17:29:54",0,0,1,"2014-08-13 17:29:54"
76,"2014-08-13 23:26:45",0,0,1,"2014-08-13 23:26:45"
78,"2014-08-17 20:51:47",0,0,1,"2014-08-17 20:51:47"
79,"2014-08-17 23:05:58",0,0,1,"2014-08-17 23:05:58"
81,"2015-05-13 20:19:22",0,0,1,"2014-08-19 00:16:23"
82,"2014-08-19 17:30:59",0,0,0,"2014-08-19 17:30:59"
83,"2014-08-20 17:49:01",0,0,1,"2014-08-20 17:49:01"
84,"2014-08-21 17:23:53",0,0,1,"2014-08-21 17:23:53"
85,"2014-08-21 19:50:28",0,0,1,"2014-08-21 19:50:28"
86,"2015-11-10 13:59:10",0,0,1,"2014-08-21 20:10:49"
87,"2014-08-22 14:42:28",0,0,1,"2014-08-22 14:42:28"
88,"2014-10-27 15:50:09",1,1,1,"2014-08-25 12:23:39"
89,"2014-08-25 12:43:16",0,0,1,"2014-08-25 12:43:16"
90,"2014-08-25 14:36:55",0,0,1,"2014-08-25 14:36:55"
91,"2014-08-25 17:20:50",0,0,1,"2014-08-25 17:20:50"
92,"2014-08-25 18:46:28",0,0,1,"2014-08-25 18:46:28"
93,"2014-08-26 13:05:49",0,0,1,"2014-08-26 13:05:49"
94,"2014-08-27 17:29:21",0,0,1,"2014-08-27 17:29:21"
95,"2014-08-28 17:21:38",0,0,1,"2014-08-28 17:21:38"
97,"2014-09-01 15:43:11",0,0,1,"2014-09-01 15:43:11"
98,"2014-09-02 17:14:59",0,0,1,"2014-09-02 17:14:59"
